"Media_2.1_tmm"	"Media_2.2_tmm"	"Media_3.2_tmm"	"Exo_2.1_tmm"	"Exo_2.2_tmm"	"Exo_3.1_tmm"	"Exo_3.2_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_med"	"ave_exo"	"direction"	"candidate"	"Acc"
910871.01921501	836516.833127719	1029875.90342928	1223083.37701524	1273614.23636304	1487805.21750988	1578748.82161696	0.587228217586272	1.50235595402389	0.000145826734611243	0.000770685602853352	925754.585257336	1390812.91312628	"up"	"high"	"sp|P60710|ACTB_MOUSE"
615046.389729037	609225.255191241	716212.613873807	938341.187498443	937234.587269841	1041672.72785935	1055720.32906903	0.618765143869884	1.53555825576459	4.51501024851963e-06	3.73925636541235e-05	646828.086264695	993242.207924165	"up"	"high"	"sp|Q8VDD5|MYH9_MOUSE"
578897.906932265	574976.023361161	660682.922672256	684280.453703665	654347.697231513	879220.984771727	869177.526453591	0.351565610869115	1.27594238385881	0.0300905206554718	0.0668099953379114	604852.284321894	771756.665540124	"up"	"low"	"sp|P17182|ENOA_MOUSE"
481367.750644611	479086.234460155	576054.32477168	754450.079290137	713111.640572809	877920.069912166	855960.890373617	0.644031756991205	1.56268729214008	1.23524956927616e-05	9.00679730781628e-05	512169.436625482	800360.670037182	"up"	"high"	"sp|P52480|KPYM_MOUSE"
526368.063688215	516384.917408269	543025.476353619	726967.696447345	751706.921530419	778655.6200032	727347.821680683	0.497346879932293	1.41161492907761	2.93602921949105e-05	0.000190959340435698	528592.819150035	746169.514915412	"up"	"high"	"sp|Q8BTM8|FLNA_MOUSE"
734440.819395167	734487.840874547	647342.31168975	556799.252211327	487306.720542215	476762.065406438	476000.218545159	-0.498823797650292	-1.4130599852066	0.000139458339951533	0.000741851452871947	705423.657319821	499217.064176285	"down"	"high"	"sp|P63017|HSP7C_MOUSE"
593721.143121063	526386.3110531	520168.241796589	689356.97475912	729600.986289328	682666.687865628	616843.45695414	0.313816516525844	1.24299292150063	0.0170449330566446	0.0421201537235626	546758.565323584	679617.026467054	"up"	"med"	"sp|P62806|H4_MOUSE"
362546.036922139	365242.298337771	498033.422996734	570287.235161587	588855.860555973	736341.041133745	699706.631524089	0.66705698468748	1.58782715608646	0.000166377058282013	0.000862473209670204	408607.252752215	648797.692093849	"up"	"high"	"sp|P16858|G3P_MOUSE"
437470.758021878	388536.34344205	506346.020309299	502044.464282296	481975.465779588	639039.578825366	616028.112306403	0.333900758008324	1.26041339075353	0.0456811415851631	0.0946210652451914	444117.707257742	559771.905298413	"up"	"low"	"sp|P09411|PGK1_MOUSE"
535775.765292128	552145.441092001	483430.992491695	484912.749674227	450273.271965769	421415.107318885	451620.406979511	-0.212474118205364	-1.15867233274626	0.0922634240579407	0.167304234930131	523784.066291942	452055.383984598	"down"	"no"	"sp|P10126|EF1A1_MOUSE"
397608.043884618	378071.4869621	286558.25034625	610343.580132002	726372.198193653	697673.669995558	550911.266303852	0.868184247428756	1.82536864184137	6.70860389631704e-07	6.71962419019189e-06	354079.260397656	646325.178656266	"up"	"high"	"sp|P31725|S10A9_MOUSE"
435070.404434487	412737.16365852	417633.365328158	503267.275923391	550365.702931711	552377.741618393	499544.55349646	0.319522089151417	1.24791794999719	0.00899823629944413	0.0246906141365856	421813.644473722	526388.818492489	"up"	"med"	"sp|Q8CGP2|H2B1P_MOUSE"
399915.752245828	408680.184638051	319606.363184501	456145.797026649	527328.675309542	535535.540311583	513224.224808482	0.434000684447669	1.35097728306334	0.00297682484031089	0.0097876305965255	376067.433356127	508058.559364064	"up"	"high"	"sp|P11247|PERM_MOUSE"
368492.175984236	362992.152689001	421804.112299584	468830.923848917	458938.438157419	524198.996535412	527840.032567904	0.364573605726911	1.28749776775681	0.00658349163161432	0.0190589152397713	384429.480324274	494952.097777413	"up"	"med"	"sp|P26039|TLN1_MOUSE"
395519.315148924	383142.710737685	412383.810826017	489384.040725504	480248.439588877	452404.757723416	445762.004695776	0.234072663734259	1.17615073145852	0.0530790106570286	0.107262490991572	397015.278904209	466949.810683393	"up"	"no"	"sp|P20029|BIP_MOUSE"
319280.716296087	307262.425979023	382581.752790007	470745.426923359	452255.597680323	540913.429418516	546552.69553262	0.579393005959729	1.49421579978841	9.73011844024936e-05	0.000541820978898817	336374.965021705	502616.787388704	"up"	"high"	"sp|P09103|PDIA1_MOUSE"
307624.262383987	310063.35354779	362171.099597277	418312.745949134	442944.673869538	553144.352160634	586977.684487055	0.615315239899143	1.53188880045764	0.000282409315704805	0.0013693763837058	326619.571843018	500344.86411659	"up"	"high"	"sp|P05064|ALDOA_MOUSE"
338584.61251468	280596.52082793	382620.281630389	446721.501247301	428482.706724721	571392.006128219	505825.727079022	0.547635180005429	1.46168335759829	0.00122585150040177	0.0047047235397009	333933.804991	488105.485294816	"up"	"high"	"sp|Q61233|PLSL_MOUSE"
276108.040896215	284982.625629861	427005.505751247	448240.752074116	415327.272437224	479747.200396679	539325.319519351	0.515001017522084	1.42899086944771	0.0083145716260425	0.023097084505601	329365.390759108	470660.136106843	"up"	"med"	"sp|P20152|VIME_MOUSE"
499441.992042997	476634.583230898	417113.225982992	340448.053166681	292858.589087298	279394.696713113	280679.878487422	-0.638376190780612	-1.55657418979501	4.64096385560068e-06	3.82139703856495e-05	464396.600418962	298345.304363629	"down"	"high"	"sp|P58252|EF2_MOUSE"
369056.469634605	393842.657061537	357855.869474416	407060.408524513	389917.46100521	342570.374580521	348121.966633518	-0.00645728982312625	-1.00448337548346	0.957217436684749	0.9701447446807	373584.998723519	371917.55268594	"down"	"no"	"sp|P68372|TBB4B_MOUSE"
459393.987453377	467519.81414021	388861.953772385	329640.374520639	295051.161468547	281555.144604884	281575.751001602	-0.562634628448148	-1.47696122514251	3.49998219594792e-05	0.00022259339181009	438591.918455324	296955.607898918	"down"	"high"	"sp|P07901|HS90A_MOUSE"
371187.309836745	331879.691061832	402597.485368814	363508.551489149	316180.95147141	378972.760025723	381551.097190709	-0.0336631412376384	-1.02361174794408	0.805043071534467	0.868037158033849	368554.828755797	360053.340044248	"down"	"no"	"sp|P06151|LDHA_MOUSE"
362402.857936224	356812.648220738	344341.878710188	384531.030409793	374073.872907825	332825.128445063	332841.80397594	0.0062861164285069	1.00436882109318	0.963662673357761	0.974046108710974	354519.12828905	356067.958934655	"up"	"no"	"sp|P68373|TBA1C_MOUSE"
294384.417333539	245668.886876877	537226.885876025	221452.423365578	217770.493839029	433390.49321359	419177.742786247	-0.153054755787364	-1.11192400042284	0.659879039015806	0.754545230267018	359093.39669548	322947.788301111	"down"	"no"	"sp|Q61207|SAP_MOUSE"
316139.200899257	312629.191272656	348531.890101805	340880.360312523	339248.014331678	329317.304448748	342998.381131076	0.0536595518937909	1.03789292151655	0.657283702254729	0.751753786541282	325766.760757906	338111.015056006	"up"	"no"	"sp|P08113|ENPL_MOUSE"
240431.206523633	219667.950141392	302181.69512143	373328.099516124	385261.999099817	477064.063498836	446365.963694099	0.726768264294691	1.65492166227213	1.65035346252599e-05	0.000116503968020286	254093.617262152	420505.031452219	"up"	"high"	"sp|Q9JKF1|IQGA1_MOUSE"
