Accession	Media_2.1	Media_2.2	Media_3.2	Exo_2.1	Exo_2.2	Exo_3.1	Exo_3.2
sp|P60710|ACTB_MOUSE	1081500	1245400	1069200	990220	848080	1280900	1568400
sp|Q8VDD5|MYH9_MOUSE	730260	907010	743560	759690	624090	896810	1048800
sp|P17182|ENOA_MOUSE	687340	856020	685910	554000	435720	756950	863480
sp|P52480|KPYM_MOUSE	571540	713260	598050	610810	474850	755830	850350
sp|Q8BTM8|FLNA_MOUSE	624970	768790	563760	588560	500550	670370	722580
sp|P63017|HSP7C_MOUSE	872020	1093500	672060	450790	324490	410460	472880
sp|P62806|H4_MOUSE	704940	783680	540030	558110	485830	587730	612800
sp|P16858|G3P_MOUSE	430460	543770	517050	461710	392110	633940	695120
sp|P09411|PGK1_MOUSE	519420	578450	525680	406460	320940	550170	611990
sp|P10126|EF1A1_MOUSE	636140	822030	501890	392590	299830	362810	448660
sp|P31725|S10A9_MOUSE	472090	562870	297500	494140	483680	600650	547300
sp|Q8CGP2|H2B1P_MOUSE	516570	614480	433580	407450	366480	475560	496270
sp|P11247|PERM_MOUSE	474830	608440	331810	369300	351140	461060	509860
sp|P26039|TLN1_MOUSE	437520	540420	437910	379570	305600	451300	524380
sp|P20029|BIP_MOUSE	469610	570420	428130	396210	319790	389490	442840
sp|P09103|PDIA1_MOUSE	379090	457450	397190	381120	301150	465690	542970
sp|P05064|ALDOA_MOUSE	365250	461620	376000	338670	294950	476220	583130
sp|Q61233|PLSL_MOUSE	402010	417750	397230	361670	285320	491930	502510
sp|P20152|VIME_MOUSE	327830	424280	443310	362900	276560	413030	535790
sp|P58252|EF2_MOUSE	593000	709610	433040	275630	195010	240540	278840
sp|P68372|TBB4B_MOUSE	438190	586350	371520	329560	259640	294930	345840
sp|P07901|HS90A_MOUSE	545450	696040	403710	266880	196470	242400	279730
sp|P06151|LDHA_MOUSE	440720	494100	417970	294300	210540	326270	379050
sp|P68373|TBA1C_MOUSE	430290	531220	357490	311320	249090	286540	330660
sp|Q61207|SAP_MOUSE	349530	365750	557740	179290	145010	373120	416430
sp|P08113|ENPL_MOUSE	375360	465440	361840	275980	225900	283520	340750
sp|Q9JKF1|IQGA1_MOUSE	285470	327040	313720	302250	256540	410720	443440
sp|P40142|TKT_MOUSE	351750	443590	279050	265150	217580	298150	340190
sp|Q5SX39|MYH4_MOUSE	23068	29475	71205	26553	35673	1134700	843890
sp|Q68FD5|CLH1_MOUSE	330190	388010	319470	256760	212050	277420	313850
sp|P15864|H12_MOUSE	331280	364090	251000	284300	231910	290550	314150
sp|Q9QXS1|PLEC_MOUSE	262710	323310	301470	255820	209180	325290	380760
sp|P06745|G6PI_MOUSE	306270	340780	284730	244790	203140	307140	325670
sp|P35700|PRDX1_MOUSE	173740	224000	202710	301590	262260	385760	457080
sp|P09528|FRIH_MOUSE	44640	29827	42212	295130	318730	527250	642310
sp|P10107|ANXA1_MOUSE	240410	288060	222730	226680	209480	294550	327970
sp|Q9JHU4|DYHC1_MOUSE	267650	335860	262780	214700	176560	241400	279720
sp|P09405|NUCL_MOUSE	417820	503130	275520	154170	108290	132410	150480
sp|P17742|PPIA_MOUSE	342730	383870	258880	190660	146490	194050	215540
sp|P11499|HS90B_MOUSE	401540	521010	277670	143730	108180	122420	149290
sp|P27773|PDIA3_MOUSE	258300	296260	244190	224430	178970	225890	264940
sp|Q8VEK3|HNRPU_MOUSE	283040	355900	231820	200130	149640	179020	210090
