Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
KUR1502_01_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		7791	12947	12947	17951	7943	0	10008	582	572	0	10	3.24	7.2	NaN	0.1	357	401252	10077	2.51	1082	10.74	28534	6076	5711	21.29	39.58	1480	24.36	+	0.27298	0.44157	94111	105590
KUR1502_02_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6065	15443	15443	21306	9580	0	11726	732	722	0	10	3.44	7.54	NaN	0.09	495	278934	11574	4.15	1186	10.25	23791	7577	7164	31.85	45.02	1567	20.68	+	0.27369	0.41064	107080	120210
KUR1502_03_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		8089	11970	11969	16756	7184	0	9572	365	361	0	4	2.18	5.03	NaN	0.04	272	250798	9050	3.61	978	10.81	17497	5581	5384	31.9	45.79	1303	23.35	+	0.26131	0.3666	112080	121330
KUR1502_04_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5191	16794	16792	21989	11593	0	10396	1553	1536	0	17	7.06	13.25	NaN	0.16	1047	247689	13162	5.31	1159	8.81	26622	9503	9189	35.7	45.36	1621	17.06	+	0.32094	0.49875	118520	128880
KUR1502_05_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5240	16820	16818	20568	13070	0	7498	1912	1888	0	24	9.3	14.45	NaN	0.32	1352	251586	13991	5.56	1223	8.74	30302	10877	10659	35.9	43.1	1716	15.78	+	0.34895	0.52226	122680	133570
KUR1502_06_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5590	15996	15995	19639	12351	0	7288	2037	2017	0	20	10.37	16.33	NaN	0.27	1522	241003	13184	5.47	1146	8.69	28825	10322	10149	35.81	44.72	1620	15.69	+	0.3447	0.52086	128140	138850
KUR1502_07_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5551	16120	16118	19407	12831	0	6576	2621	2607	0	14	13.51	20.32	NaN	0.21	1959	259144	13571	5.24	1112	8.19	31871	10879	10696	34.13	42.02	1609	14.79	+	0.31546	0.50746	137800	148460
KUR1502_08_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5268	16383	16380	18657	14105	0	4552	4671	4619	0	52	25.04	32.75	NaN	1.14	3349	300348	14325	4.77	1055	7.36	40143	12155	12038	30.28	34.89	1588	13.06	+	0.36742	0.58463	142550	153140
KUR1502_09_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5515	15859	15856	18012	13704	0	4308	5118	5056	0	62	28.41	36.89	NaN	1.44	3728	306997	13884	4.52	1009	7.27	40257	11839	11719	29.41	33.78	1477	12.48	+	0.36035	0.58756	144030	154650
KUR1502_10_OT	KUR-1502	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		5415	16166	16166	18432	13898	0	4534	5502	5406	0	96	29.85	38.9	NaN	2.12	3986	307482	14173	4.61	1040	7.34	40918	12049	11936	29.45	33.42	1513	12.56	+	0.37739	0.58968	148980	159200
