New PAW TMT results file!																												
"Program ""PAW_protein_grouper.py"" run on Fri Feb  8 15:55:01 2019"																		Media_2.1		Exo_2.1		Exo_2.2	Media_2.2	Exo_3.1		Exo_3.2	Media_3.2	
 																		"1,027,236,523"	"41,859,679"	"751,966,492"	"12,344,826"	"615,347,781"	"1,269,260,862"	"829,342,923"	"61,902,516"	"943,199,971"	"916,023,096"	"9,811,273"
 	5427																											
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_KUR1502	Unique_KUR1502	Corrected_KUR1502	PSMs_Used_KUR1502	TotInt_126C_KUR1502	TotInt_127N_KUR1502	TotInt_127C_KUR1502	TotInt_128N_KUR1502	TotInt_128C_KUR1502	TotInt_129N_KUR1502	TotInt_129C_KUR1502	TotInt_130N_KUR1502	TotInt_130C_KUR1502	TotInt_131N_KUR1502	TotInt_131C_KUR1502
5491	1	sp|P60710|ACTB_MOUSE_family	 	sp|P60710|ACTB_MOUSE&sp|Q8BFZ3|ACTBL_MOUSE&tr|V9GXQ2|V9GXQ2_MOUSE	"sp|P60710|ACTB_MOUSE&sp|Q8BFZ3|ACTBL_MOUSE&tr|V9GXQ2|V9GXQ2_MOUSE, sp|P68134|ACTS_MOUSE"	 	'(74.9)	'(375)	'(41736)	"'(Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1)"	858	458	0.534	858	458	788.09	458	"3,933,357"	"487,882"	"3,365,868"	"59,729"	"2,877,318"	"4,407,161"	"4,087,298"	"236,573"	"4,900,769"	"3,673,067"	"58,502"
5471	1	sp|Q8VDD5|MYH9_MOUSE_family	 	sp|Q8VDD5|MYH9_MOUSE&sp|O08638|MYH11_MOUSE	"sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE&sp|Q91Z83|MYH7_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q8VDD5|MYH9_MOUSE&sp|O08638|MYH11_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|G3UW82|G3UW82_MOUSE"	 	'(58.9)	'(1960)	'(226369)	'(Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4)	521	462	0.887	521	462	518.725	462	"5,776,706"	"142,328"	"6,059,613"	"63,418"	"4,975,721"	"7,291,692"	"7,275,906"	"413,546"	"8,452,274"	"5,960,994"	"108,028"
1405	1	sp|P68134|ACTS_MOUSE	 	 	"sp|P60710|ACTB_MOUSE, sp|P68134|ACTS_MOUSE, sp|Q8BFZ3|ACTBL_MOUSE, tr|V9GXQ2|V9GXQ2_MOUSE"	 	72.4	377	42051	"Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1"	497	97	0.195	497	97	166.91	97	"1,014,940"	"10,580"	"960,414"	"16,317"	"817,656"	"1,257,965"	"1,651,860"	"75,739"	"1,998,265"	"1,085,345"	"25,825"
5487	1	sp|P17182|ENOA_MOUSE_family	 	sp|P17182|ENOA_MOUSE&sp|P17183|ENOG_MOUSE	"sp|P17182|ENOA_MOUSE&sp|P17183|ENOG_MOUSE, sp|P21550|ENOB_MOUSE"	 	'(79.3)	'(434)	'(47140)	'(Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3)	459	345	0.752	459	345	456.733	345	"6,870,884"	"84,329"	"5,565,945"	"101,401"	"4,276,295"	"8,431,112"	"7,595,261"	"466,107"	"8,567,091"	"6,883,385"	"78,419"
1135	1	sp|P52480|KPYM_MOUSE	 	 	"sp|P52480|KPYM_MOUSE, sp|P53657|KPYR_MOUSE"	 	70.8	531	57844	Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4	407	400	0.983	407	400	406.965	400	"5,581,931"	"223,276"	"5,919,861"	"85,236"	"4,716,778"	"7,025,343"	"7,657,665"	"364,559"	"8,385,431"	"6,028,481"	"87,161"
2922	1	sp|Q8BTM8|FLNA_MOUSE	 	 	"sp|Q80X90|FLNB_MOUSE, sp|Q8BTM8|FLNA_MOUSE, sp|Q8VHX6|FLNC_MOUSE"	 	61.3	2647	281218	Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5	367	351	0.956	367	351	363.58	351	"5,784,291"	"151,923"	"5,569,973"	"78,268"	"4,762,455"	"7,072,911"	"6,382,760"	"388,868"	"6,863,332"	"5,227,963"	"63,082"
5480	1	sp|P05064|ALDOA_MOUSE_family	 	sp|P05064|ALDOA_MOUSE&tr|A6ZI46|A6ZI46_MOUSE	"sp|P05063|ALDOC_MOUSE, sp|P05064|ALDOA_MOUSE&tr|A6ZI46|A6ZI46_MOUSE"	 	'(88.2)	'(364)	'(39355)	'(Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2)	331	290	0.876	331	290	327.746	290	"3,207,132"	"206,007"	"3,027,576"	"43,488"	"2,654,515"	"4,171,450"	"4,227,400"	"237,652"	"5,394,528"	"3,359,621"	"66,256"
