	=subtotal(109,B3:B3)										Total	Unique	Corrected	
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	KUR1502	KUR1502	KUR1502	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	16	9	0.562	16	9	12.000	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	19	12	0.632	19	12	16.000	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
3.0	1	CONT_015|gi|229552|prf||754920A	contaminant	58.3	581	65797	albumin [Bos primigenius taurus].	209	5	0.024	209	5	23.746	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE
4.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	66.4	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	273	49	0.179	273	49	249.899	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE
5.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	13.5	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	23	0	0.000	23	0	0.000	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE
6.0	1	CONT_046|gi|88041|pir||A31994	contaminant	33.7	561	57247	keratin 10, type I, epidermal [Homo sapiens].	24	2	0.083	24	2	6.937	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
7.0	1	CONT_049|gi|88052|pir||A32568	contaminant	10.0	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	10	3	0.300	10	3	3.938	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
7.01	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	redundant	10.0	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	10	3	0.300	10	3	3.938	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
8.0	1	CONT_050|gi|280816|pir||A37343	contaminant	5.5	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	2	0	0.000	2	0	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
