Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	KUR1502	KUR1502	KUR1502
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	16	9	0.562	16	9	12.000
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	19	12	0.632	19	12	16.000
5	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE	contaminant	13.5	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	23	0	0.000	23	0	0.000
7	1	CONT_049|gi|88052|pir||A32568 (+1)	CONT_049|gi|88052|pir||A32568&CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	10.0	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	10	3	0.300	10	3	3.766
8	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE	contaminant	5.5	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	2	0	0.000	2	0	0.000
9	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE	contaminant	25.1	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	18	9	0.500	18	9	14.360
10	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	32.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	36	35	0.972	36	35	35.515
11	1	CONT_073|gi|87303|pir||JS0487 (+7)	CONT_073|gi|87303|pir||JS0487&CONT_103|gi|2119212|pir||I37982&CONT_120|gi|125108|sp|P08729|K2C7_HUMAN&CONT_124|gi|105815|pir||A34720&CONT_140|gi|88045|pir||S05602&CONT_141|gi|88049|pir||B24177&CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN&sp|Q9DCV7|K2C7_MOUSE	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE	contaminant	7.5	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	20	0	0.000	20	0	0.000
12	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE	contaminant	16.9	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	8	4	0.500	8	4	4.904
